VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-06-01 00:31:23,2020-06-01 00:49:58,1,3.60,1,N,140,68,1,15.5,3,0.5,4,0,0.3,23.3,2.5
1,2020-06-01 00:42:50,2020-06-01 01:04:33,1,5.60,1,N,79,226,1,19.5,3,0.5,2,0,0.3,25.3,2.5
1,2020-06-01 00:39:51,2020-06-01 00:49:09,1,2.30,1,N,238,116,2,10,0.5,0.5,0,0,0.3,11.3,0
1,2020-06-01 00:56:13,2020-06-01 01:11:38,1,5.30,1,N,141,116,2,17.5,3,0.5,0,0,0.3,21.3,2.5
1,2020-06-01 00:16:41,2020-06-01 00:29:30,1,4.40,1,N,186,75,1,14.5,3,0.5,3.65,0,0.3,21.95,2.5
2,2020-06-01 00:06:29,2020-06-01 00:13:22,1,1.72,1,N,142,186,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,2020-06-01 00:15:04,2020-06-01 00:19:36,1,1.23,1,N,186,234,1,6,0.5,0.5,2.94,0,0.3,12.74,2.5
2,2020-06-01 00:12:52,2020-06-01 00:18:20,1,.94,1,N,238,151,2,6,0.5,0.5,0,0,0.3,7.3,0
2,2020-06-01 00:08:48,2020-06-01 00:40:48,2,19.00,2,N,132,113,1,52,0,0.5,13.82,0,0.3,69.12,2.5
1,2020-06-01 00:10:33,2020-06-01 00:15:38,0,.80,1,N,75,263,1,5.5,0.5,0.5,1,0,0.3,7.8,0
1,2020-06-01 00:33:56,2020-06-01 00:41:29,1,1.80,1,N,75,24,1,8,0.5,0.5,2.3,0,0.3,11.6,0
2,2020-06-01 00:08:05,2020-06-01 00:21:33,1,3.41,1,N,229,238,2,13,0.5,0.5,0,0,0.3,16.8,2.5
2,2020-06-01 00:19:06,2020-06-01 00:21:51,1,.73,1,N,107,224,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,2020-06-01 00:56:43,2020-06-01 01:07:44,1,3.60,1,N,79,25,2,12.5,0.5,0.5,0,0,0.3,16.3,2.5
2,2020-06-01 00:21:28,2020-06-01 00:25:01,1,1.11,1,N,100,249,4,-5.5,-0.5,-0.5,0,0,-0.3,-9.3,-2.5
2,2020-06-01 00:21:28,2020-06-01 00:25:01,1,1.11,1,N,100,249,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,2020-06-01 00:56:47,2020-06-01 01:14:20,1,8.31,1,N,186,244,1,24.5,0.5,0.5,3,0,0.3,31.3,2.5
2,2020-06-01 00:22:56,2020-06-01 00:59:09,1,12.81,1,N,186,134,1,40,0.5,0.5,8.76,0,0.3,52.56,2.5
1,2020-06-01 00:14:36,2020-06-01 00:24:54,2,3.50,1,N,107,263,1,12,3,0.5,3.95,0,0.3,19.75,2.5
1,2020-06-01 00:28:17,2020-06-01 00:33:47,1,1.40,1,N,236,141,2,7,3,0.5,0,0,0.3,10.8,2.5
1,2020-06-01 00:19:38,2020-06-01 00:23:03,2,.80,1,N,142,50,1,5,3,0.5,1.75,0,0.3,10.55,2.5
1,2020-06-01 00:36:16,2020-06-01 00:42:22,2,1.60,1,N,100,234,2,7,3,0.5,0,0,0.3,10.8,2.5
1,2020-06-01 00:11:40,2020-06-01 00:23:38,1,2.40,1,N,152,238,2,11,3,0.5,0,0,0.3,14.8,2.5
2,2020-06-01 00:28:20,2020-06-01 00:37:46,1,1.81,1,N,188,35,2,9,0.5,0.5,0,0,0.3,10.3,0
2,2020-06-01 00:50:12,2020-06-01 01:04:06,1,2.94,1,N,61,52,2,12,0.5,0.5,0,0,0.3,13.3,0
2,2020-06-01 00:38:05,2020-06-01 00:45:05,1,1.89,1,N,100,137,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,2020-06-01 00:57:33,2020-06-01 01:14:17,1,5.73,1,N,144,225,1,18.5,0.5,0.5,4.46,0,0.3,28.71,2.5
1,2020-06-01 00:02:27,2020-06-01 00:31:24,2,8.90,1,N,186,167,2,28,3,0.5,0,0,0.3,31.8,2.5
1,2020-06-01 00:23:15,2020-06-01 00:50:06,1,4.50,1,N,113,49,1,20,3,0.5,4.75,0,0.3,28.55,2.5
2,2020-06-01 00:10:24,2020-06-01 00:33:37,1,12.38,1,N,79,69,1,35,0.5,0.5,7.76,0,0.3,46.56,2.5
2,2020-06-01 00:41:26,2020-06-01 00:58:11,1,6.98,1,N,137,159,1,21.5,0.5,0.5,2,0,0.3,27.3,2.5
2,2020-06-01 23:34:40,2020-06-02 00:35:38,1,3.20,1,N,137,230,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5
2,2020-06-01 00:57:46,2020-06-01 01:05:57,1,1.76,1,N,74,152,1,8,0.5,0.5,2.33,0,0.3,11.63,0
1,2020-06-01 00:32:24,2020-06-01 00:35:22,1,.80,1,N,237,162,1,4.5,3,0.5,1.65,0,0.3,9.95,2.5
1,2020-06-01 00:43:51,2020-06-01 00:46:38,1,.80,1,N,162,170,1,4.5,3,0.5,1.25,0,0.3,9.55,2.5
1,2020-06-01 00:05:27,2020-06-01 00:18:28,2,4.00,1,N,87,161,1,13.5,3,0.5,0,0,0.3,17.3,2.5
2,2020-06-01 00:17:47,2020-06-01 00:25:23,1,1.86,1,N,151,75,1,8.5,0.5,0.5,0,0,0.3,9.8,0
2,2020-06-01 00:06:00,2020-06-01 00:22:17,6,3.29,1,N,41,143,2,14,0.5,0.5,0,0,0.3,17.8,2.5
2,2020-06-01 00:15:13,2020-06-01 00:29:34,1,6.50,1,N,132,38,1,19.5,0.5,0.5,2.2,0,0.3,23,0
2,2020-06-01 00:03:54,2020-06-01 00:11:16,2,1.88,1,N,140,162,1,8,0.5,0.5,1.11,0,0.3,12.91,2.5
2,2020-06-01 00:36:00,2020-06-01 00:39:52,3,.68,1,N,140,229,1,5,0.5,0.5,0,0,0.3,8.8,2.5
2,2020-06-01 00:47:44,2020-06-01 00:51:49,2,.48,1,N,140,141,1,4.5,0.5,0.5,2.49,0,0.3,10.79,2.5
2,2020-06-01 00:40:41,2020-06-01 00:48:23,2,2.05,1,N,142,141,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
1,2020-06-01 00:27:42,2020-06-01 00:39:13,1,3.10,1,N,148,230,2,12,3,0.5,0,0,0.3,15.8,2.5
1,2020-06-01 00:19:18,2020-06-01 00:29:36,1,2.50,1,N,74,42,2,10,0.5,0.5,0,0,0.3,11.3,0
1,2020-06-01 00:34:12,2020-06-01 00:36:36,1,.40,1,N,42,42,2,3.5,0.5,0.5,0,0,0.3,4.8,0
1,2020-06-01 00:40:51,2020-06-01 01:03:05,1,6.60,1,N,41,249,3,21,3,0.5,0,0,0.3,24.8,2.5
2,2020-06-01 00:00:51,2020-06-01 00:14:39,2,4.92,1,N,68,41,1,15.5,0.5,0.5,3.86,0,0.3,23.16,2.5
2,2020-06-01 00:22:35,2020-06-01 00:29:21,1,2.50,1,N,151,48,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,2020-06-01 00:36:34,2020-06-01 00:52:01,1,4.05,1,N,48,263,2,15,0.5,0.5,0,0,0.3,18.8,2.5
1,2020-06-01 00:10:16,2020-06-01 00:12:39,1,.70,1,N,233,137,2,4,3,0.5,0,0,0.3,7.8,2.5
1,2020-06-01 00:35:13,2020-06-01 00:36:03,1,.00,1,N,161,161,2,2.5,3,0.5,0,0,0.3,6.3,2.5
2,2020-06-01 00:46:24,2020-06-01 00:52:29,1,1.37,1,N,162,140,1,7,0.5,0.5,2,0,0.3,12.8,2.5
2,2020-06-01 00:24:48,2020-06-01 00:26:46,1,.40,1,N,166,166,1,3.5,0.5,0.5,0.96,0,0.3,5.76,0
2,2020-06-01 00:32:01,2020-06-01 00:42:50,2,3.54,1,N,48,75,2,12.5,0.5,0.5,0,0,0.3,16.3,2.5
2,2020-06-01 00:09:31,2020-06-01 00:30:42,1,11.54,1,N,137,89,1,32,0.5,0.5,7.16,0,0.3,42.96,2.5
1,2020-06-01 00:16:40,2020-06-01 00:16:47,1,5.20,3,N,238,238,1,20,0.5,0,4.15,0,0.3,24.95,0
1,2020-06-01 00:54:06,2020-06-01 01:04:51,1,2.40,1,N,7,83,3,10.5,0.5,0.5,0,0,0.3,11.8,0
2,2020-06-01 00:25:26,2020-06-01 00:37:25,1,6.64,1,N,143,243,1,20,0.5,0.5,0,0,0.3,23.8,2.5
1,2020-06-01 00:20:27,2020-06-01 00:23:51,1,1.10,1,N,48,246,2,5.5,3,0.5,0,0,0.3,9.3,2.5
1,2020-06-01 00:54:40,2020-06-01 01:03:41,2,1.90,1,N,140,230,1,9,3,0.5,2.55,0,0.3,15.35,2.5
2,2020-06-01 00:18:51,2020-06-01 00:37:05,1,6.66,1,N,48,42,1,22,0.5,0.5,6.45,0,0.3,32.25,2.5
2,2020-06-01 00:47:32,2020-06-01 00:51:40,1,.92,1,N,166,152,2,5.5,0.5,0.5,0,0,0.3,6.8,0
2,2020-06-01 00:17:18,2020-06-01 00:40:23,2,13.12,1,N,137,182,1,36.5,0.5,0.5,0,0,0.3,40.3,2.5
2,2020-06-01 00:41:59,2020-06-01 00:52:39,1,4.06,1,N,182,32,1,13.5,0.5,0.5,2.96,0,0.3,17.76,0
2,2020-06-01 00:08:40,2020-06-01 00:30:41,2,6.38,1,N,232,85,1,21.5,0.5,0.5,5.06,0,0.3,32.31,2.5
2,2020-06-01 00:43:07,2020-06-01 00:53:14,1,2.23,1,N,137,148,1,10,0.5,0.5,4.14,0,0.3,17.94,2.5
1,2020-06-01 00:08:19,2020-06-01 00:15:08,1,1.70,1,N,100,68,1,7.5,3,0.5,4,0,0.3,15.3,2.5
